Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99445.0,Terry (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99447.0,Throckmorton (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99449.0,Titus (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99451.0,Tom Green (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99453.0,Travis (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99457.0,Tyler (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99459.0,Upshur (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99461.0,Upton (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99463.0,Uvalde (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99465.0,Val Verde (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99467.0,Van Zandt (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99471.0,Walker (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99473.0,Waller (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99475.0,Ward (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99477.0,Washington (County),8035
