Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
1440,Yes,Yes,Yes,Yes,AK,2002-11-08 19:25:00,DR,Earthquake,EARTHQUAKE,2002-11-03 00:55:00,2002-11-10 00:00:00,2013-09-30 23:59:00,99090.0,Fairbanks North Star (Borough),2145
1440,Yes,Yes,Yes,Yes,AK,2002-11-08 19:25:00,DR,Earthquake,EARTHQUAKE,2002-11-03 00:55:00,2002-11-10 00:00:00,2013-09-30 23:59:00,99170.0,Matanuska-Susitna (Borough),2145
1440,Yes,Yes,Yes,Yes,AK,2002-11-08 19:25:00,DR,Earthquake,EARTHQUAKE,2002-11-03 00:55:00,2002-11-10 00:00:00,2013-09-30 23:59:00,99240.0,Southeast Fairbanks (Census Area),2145
1440,Yes,Yes,Yes,Yes,AK,2002-11-08 19:25:00,DR,Earthquake,EARTHQUAKE,2002-11-03 00:55:00,2002-11-10 00:00:00,2013-09-30 23:59:00,99261.0,Valdez-Cordova (Census Area),2145
1440,Yes,Yes,Yes,Yes,AK,2002-11-08 19:25:00,DR,Earthquake,EARTHQUAKE,2002-11-03 00:55:00,2002-11-10 00:00:00,2013-09-30 23:59:00,99290.0,Yukon-Koyukuk (Census Area),2145
1415,No,Yes,No,Yes,NY,2002-05-16 12:00:00,DR,Earthquake,EARTHQUAKE,2002-04-20 06:50:00,2002-04-20 00:00:00,2010-12-21 00:00:00,99019.0,Clinton (County),2041
1415,No,Yes,No,Yes,NY,2002-05-16 12:00:00,DR,Earthquake,EARTHQUAKE,2002-04-20 06:50:00,2002-04-20 00:00:00,2010-12-21 00:00:00,99031.0,Essex (County),2041
1415,No,Yes,No,Yes,NY,2002-05-16 12:00:00,DR,Earthquake,EARTHQUAKE,2002-04-20 06:50:00,2002-04-20 00:00:00,2010-12-21 00:00:00,99033.0,Franklin (County),2041
1415,No,Yes,No,Yes,NY,2002-05-16 12:00:00,DR,Earthquake,EARTHQUAKE,2002-04-20 06:50:00,2002-04-20 00:00:00,2010-12-21 00:00:00,99041.0,Hamilton (County),2041
1415,No,Yes,No,Yes,NY,2002-05-16 12:00:00,DR,Earthquake,EARTHQUAKE,2002-04-20 06:50:00,2002-04-20 00:00:00,2010-12-21 00:00:00,99113.0,Warren (County),2041
1415,No,Yes,No,Yes,NY,2002-05-16 12:00:00,DR,Earthquake,EARTHQUAKE,2002-04-20 06:50:00,2002-04-20 00:00:00,2010-12-21 00:00:00,99115.0,Washington (County),2041
1397,No,No,Yes,Yes,GU,2001-12-05 07:00:00,DR,Earthquake,EARTHQUAKE,2001-10-13 14:15:00,2001-10-13 00:00:00,2010-06-21 00:00:00,99010.0,Guam (County-equivalent),1110
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99005.0,Benton (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99007.0,Chelan (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99009.0,Clallam (County),1025
